rank,keyword,avg_monthly_searches,competition,competition_index,top_of_page_bid_low,top_of_page_bid_high,intent_type,city,service,brand,recommended_url,priority_score,reason
1,led tv repair noida,1000,LOW,17,25.49,39.59,money,Noida,LED TV Repair,,/services/led-tv-repair-noida,84,volume 1000; city plus service; money keyword; low competition; some CPC signal
2,led tv repair delhi,720,LOW,18,16.49,36.31,money,Delhi,LED TV Repair,,/services/led-tv-repair-delhi,83.3,volume 720; city plus service; money keyword; low competition; some CPC signal
3,tv repair noida,720,LOW,30,16.7,41.11,money,Noida,TV Repair,,/services/tv-repair-noida,83.3,volume 720; city plus service; money keyword; low competition; some CPC signal
4,sony tv repair noida,320,MEDIUM,49,27.6,89.86,brand,Noida,TV Repair,Sony,/services/sony-tv-repair-noida,83.08,volume 320; city plus service; brand plus city; medium competition; solid CPC signal
5,tv repair delhi,590,LOW,24,7.27,34.58,money,Delhi,TV Repair,,/services/tv-repair-delhi,82.26,volume 590; city plus service; money keyword; low competition; some CPC signal
6,sony tv service center noida,170,MEDIUM,44,29.46,93.78,brand,Noida,TV Repair,Sony,/services/sony-tv-repair-noida,79.8,volume 170; city plus service; brand plus city; medium competition; solid CPC signal
7,samsung tv service centre delhi,390,MEDIUM,40,16.01,39.84,brand,Delhi,TV Repair,Samsung,/services/samsung-tv-repair-delhi,79.11,volume 390; city plus service; brand plus city; medium competition; some CPC signal
8,lg tv service center in delhi,140,LOW,12,3.65,28.77,brand,Delhi,TV Repair,LG,/services/lg-tv-repair-delhi,78.79,volume 140; city plus service; brand plus city; low competition; some CPC signal
9,tv repair greater noida,260,LOW,22,17.22,39.76,money,Greater Noida,TV Repair,,/services/tv-repair-greater-noida,78.0,volume 260; city plus service; money keyword; low competition; some CPC signal
10,tv repair in indirapuram ghaziabad,260,LOW,29,13.0,38.61,money,Ghaziabad,TV Repair,,/services/tv-repair-ghaziabad,78.0,volume 260; city plus service; money keyword; low competition; some CPC signal
11,led tv repair ghaziabad,210,LOW,30,22.11,38.17,money,Ghaziabad,LED TV Repair,,/services/led-tv-repair-ghaziabad,76.89,volume 210; city plus service; money keyword; low competition; some CPC signal
12,sony tv repair delhi,90,LOW,5,3.65,33.11,brand,Delhi,TV Repair,Sony,/services/sony-tv-repair-delhi,76.51,volume 90; city plus service; brand plus city; low competition; some CPC signal
13,lcd tv repair delhi,140,LOW,13,16.56,35.55,money,Delhi,LCD TV Repair,,/services/lcd-tv-repair-delhi,74.79,volume 140; city plus service; money keyword; low competition; some CPC signal
14,led tv repair greater noida,140,LOW,14,26.19,49.11,money,Greater Noida,LED TV Repair,,/services/led-tv-repair-greater-noida,74.79,volume 140; city plus service; money keyword; low competition; some CPC signal
15,tv repair near me noida,90,LOW,21,23.42,40.64,near_me,Noida,TV Repair,,/services/tv-repair-noida,73.51,volume 90; city plus service; near-me/home-service intent; low competition; some CPC signal
16,samsung led tv repair in delhi,40,LOW,22,17.44,41.98,brand,Delhi,LED TV Repair,Samsung,/services/samsung-tv-repair-delhi,72.35,volume 40; city plus service; brand plus city; low competition; some CPC signal
17,tv repair ghaziabad,210,MEDIUM,35,20.82,35.86,money,Ghaziabad,TV Repair,,/services/tv-repair-ghaziabad,71.89,volume 210; city plus service; money keyword; medium competition; some CPC signal
18,samsung tv service centre noida,90,MEDIUM,53,17.44,43.48,brand,Noida,TV Repair,Samsung,/services/samsung-tv-repair-noida,71.51,volume 90; city plus service; brand plus city; medium competition; some CPC signal
19,vu tv repair near me,1300,LOW,21,16.27,54.97,near_me,,TV Repair,Vu,/services/tv-repair-near-me,70,volume 1300; near-me/home-service intent; low competition; solid CPC signal
20,lcd tv repair noida,50,LOW,15,21.2,35.57,money,Noida,LCD TV Repair,,/services/lcd-tv-repair-noida,69.49,volume 50; city plus service; money keyword; low competition; some CPC signal
21,sony led tv service center near me,720,LOW,31,16.94,58.18,near_me,,TV Repair,Sony,/services/tv-repair-near-me,69.3,volume 720; near-me/home-service intent; low competition; solid CPC signal
22,near me tv repair shop,720,LOW,24,10.98,54.66,near_me,,TV Repair,,/services/tv-repair-near-me,69.3,volume 720; near-me/home-service intent; low competition; solid CPC signal
23,samsung tv repair noida,20,LOW,22,14.69,28.15,brand,Noida,TV Repair,Samsung,/services/samsung-tv-repair-noida,68.87,volume 20; city plus service; brand plus city; low competition; some CPC signal
24,led tv repair service in delhi,110,LOW,1,0.0,0.0,money,Delhi,LED TV Repair,,/services/led-tv-repair-delhi,68.54,volume 110; city plus service; money keyword; low competition
25,mi tv repair delhi,50,MEDIUM,56,4.84,32.97,brand,Delhi,TV Repair,Mi/Xiaomi,/services/mi-xiaomi-tv-repair-delhi,68.49,volume 50; city plus service; brand plus city; medium competition; some CPC signal
26,lg led tv repair near me,590,LOW,29,15.99,54.31,near_me,,LED TV Repair,LG,/services/tv-repair-near-me,68.26,volume 590; near-me/home-service intent; low competition; solid CPC signal
27,best tv repair near me,590,LOW,24,12.68,57.47,near_me,,TV Repair,,/services/tv-repair-near-me,68.26,volume 590; near-me/home-service intent; low competition; solid CPC signal
28,led tv repair in vaishali ghaziabad,30,LOW,17,34.86,43.4,money,Ghaziabad,LED TV Repair,,/services/led-tv-repair-ghaziabad,66.9,volume 30; city plus service; money keyword; low competition; some CPC signal
29,tv repair service in delhi,30,LOW,8,19.46,29.26,money,Delhi,TV Repair,,/services/tv-repair-delhi,66.9,volume 30; city plus service; money keyword; low competition; some CPC signal
30,mi tv repair noida,30,LOW,32,0.0,0.0,brand,Noida,TV Repair,Mi/Xiaomi,/services/mi-xiaomi-tv-repair-noida,65.9,volume 30; city plus service; brand plus city; low competition
31,smart tv repair near me,1900,LOW,32,7.48,49.81,near_me,,TV Repair,,/services/tv-repair-near-me,65,volume 1900; near-me/home-service intent; low competition; some CPC signal
32,samsung tv repair delhi,10,LOW,17,0.0,0.0,brand,Delhi,TV Repair,Samsung,/services/samsung-tv-repair-delhi,60.5,volume 10; city plus service; brand plus city; low competition
33,lg led tv repair in delhi,10,LOW,0,0.0,0.0,brand,Delhi,LED TV Repair,LG,/services/lg-tv-repair-delhi,60.5,volume 10; city plus service; brand plus city; low competition
34,plasma tv repair delhi,10,LOW,0,0.0,0.0,money,Delhi,Plasma TV Repair,,/services/plasma-tv-repair-delhi,56.5,volume 10; city plus service; money keyword; low competition
35,led tv screen replacement cost in delhi,10,LOW,0,0.0,0.0,cost,Delhi,TV Repair,,/blog/led-tv-screen-replacement-cost-in-delhi,54.5,volume 10; city plus service; cost intent; low competition
36,led tv panel repair delhi,10,LOW,20,0.0,0.0,problem,Delhi,TV Repair,,/blog/led-tv-panel-repair-delhi,52.5,volume 10; city plus service; problem intent; low competition
37,lg oled tv repair near me,20,MEDIUM,60,15.65,55.61,near_me,,OLED TV Repair,LG,/services/tv-repair-near-me,45.87,volume 20; near-me/home-service intent; medium competition; solid CPC signal
38,led tv screen repair in delhi,10,UNSPECIFIED,0,0.0,0.0,problem,Delhi,TV Repair,,/blog/led-tv-screen-repair-in-delhi,42.5,volume 10; city plus service; problem intent
39,curved tv repair near me,10,MEDIUM,57,17.93,51.67,near_me,,Curved TV Repair,,/services/tv-repair-near-me,42.5,volume 10; near-me/home-service intent; medium competition; solid CPC signal
40,qled tv repair delhi,0,UNSPECIFIED,0,0.0,0.0,money,Delhi,QLED TV Repair,,/services/qled-tv-repair-delhi,37.61,volume 0; city plus service; money keyword
41,lcd tv repair cost delhi,0,UNSPECIFIED,0,0.0,0.0,cost,Delhi,LCD TV Repair,,/blog/lcd-tv-repair-cost-delhi,35.61,volume 0; city plus service; cost intent
42,lcd tv repair cost ghaziabad,0,UNSPECIFIED,0,0.0,0.0,cost,Ghaziabad,LCD TV Repair,,/blog/lcd-tv-repair-cost-ghaziabad,35.61,volume 0; city plus service; cost intent
43,lcd tv repair cost greater noida,0,UNSPECIFIED,0,0.0,0.0,cost,Greater Noida,LCD TV Repair,,/blog/lcd-tv-repair-cost-greater-noida,35.61,volume 0; city plus service; cost intent
44,lcd tv repair cost noida,0,UNSPECIFIED,0,0.0,0.0,cost,Noida,LCD TV Repair,,/blog/lcd-tv-repair-cost-noida,35.61,volume 0; city plus service; cost intent
45,led tv screen repair ghaziabad,0,UNSPECIFIED,0,0.0,0.0,problem,Ghaziabad,TV Repair,,/blog/led-tv-screen-repair-ghaziabad,33.61,volume 0; city plus service; problem intent
46,led tv screen repair greater noida,0,UNSPECIFIED,0,0.0,0.0,problem,Greater Noida,TV Repair,,/blog/led-tv-screen-repair-greater-noida,33.61,volume 0; city plus service; problem intent
47,led tv screen repair noida,0,UNSPECIFIED,0,0.0,0.0,problem,Noida,TV Repair,,/blog/led-tv-screen-repair-noida,33.61,volume 0; city plus service; problem intent
48,tv backlight repair delhi,0,UNSPECIFIED,0,0.0,0.0,problem,Delhi,TV Repair,,/blog/tv-backlight-repair-delhi,33.61,volume 0; city plus service; problem intent
49,tv backlight repair ghaziabad,0,UNSPECIFIED,0,0.0,0.0,problem,Ghaziabad,TV Repair,,/blog/tv-backlight-repair-ghaziabad,33.61,volume 0; city plus service; problem intent
50,tv backlight repair greater noida,0,UNSPECIFIED,0,0.0,0.0,problem,Greater Noida,TV Repair,,/blog/tv-backlight-repair-greater-noida,33.61,volume 0; city plus service; problem intent
